qc_id,fid,nome_lugar,cdgo16_11_,nome_mapa,capitalcon,capitalpro,cabeceraco,capitalaut,icon_url
0,8358,Bade,"27057450100",Bade,Non,Non,Non,Non,
1,12324,Airexe,"27057350100",Airexe,Non,Non,Non,Non,
2,7736,"Pinza, A","27057350800",A Pinza,Non,Non,Non,Non,
3,7477,Pedrosa,"27057350700",Pedrosa,Non,Non,Non,Non,
4,7605,Castromeixe,"27057060300",Castromeixe,Non,Non,Non,Non,
5,5897,"Casal, O","27057060200",O Casal,Non,Non,Non,Non,
6,18781,Queixona,"27057060600",Queixona,Non,Non,Non,Non,
7,19268,Lavandeira,"27057060500",Lavandeira,Non,Non,Non,Non,
8,11327,San Miguel,"27057060700",San Miguel,Non,Non,Non,Non,
9,8053,Santo André,"27057320101",Santo André,Non,Non,Non,Non,
10,21568,Cortiñas,"27057060400",Cortiñas,Non,Non,Non,Non,
11,26824,Morgade,"27057350300",Morgade,Non,Non,Non,Non,
12,27970,Pacios de Calvos,"27057350600",Pacios de Calvos,Non,Non,Non,Non,
13,30278,"Neo, O","27057350400",O Neo,Non,Non,Non,Non,
14,30809,Biville,"27057060100",Biville,Non,Non,Non,Non,
15,32947,"Brea, A","27057350200",A Brea,Non,Non,Non,Non,
16,33860,Valiñas,2705735-99,Valiñas,Non,Non,Non,Non,
17,36595,"Pacio, O","27057350500",O Pacio,Non,Non,Non,Non,
18,8246,Vilaverde,"27057130800",Vilaverde,Non,Non,Non,Non,
19,21694,"Cousiño, O",2705730-99,O Cousiño,Non,Non,Non,Non,
20,33864,Sanguñedo,"27057130500",Sanguñedo,Non,Non,Non,Non,
21,34781,Quintela,"27057190301",Quintela,Non,Non,Non,Non,
22,4705,Santigoso,"27057130600",Santigoso,Non,Non,Non,Non,
23,22425,Carballo,"27057130200",Carballo,Non,Non,Non,Non,
24,14883,Ribas,"27057300700",Ribas,Non,Non,Non,Non,
25,18757,Airexe,"27057300100",Airexe,Non,Non,Non,Non,
26,4983,"Quintá, A","27057130400",A Quintá,Non,Non,Non,Non,
27,6917,Traslodeiro,"27057130700",Traslodeiro,Non,Non,Non,Non,
28,1385,Cabanas,"27057450200",Cabanas,Non,Non,Non,Non,
29,8475,"Caseta, A","27057300200",A Caseta,Non,Non,Non,Non,
30,11690,Vilamaior,"27057450701",Vilamaior,Non,Non,Non,Non,
31,5326,Nespereira,"27057300600",Nespereira,Non,Non,Non,Non,
32,11438,San Breixo,"27057360800",San Breixo,Non,Non,Non,Non,
33,25620,"Palacio, O","27057450500",O Palacio,Non,Non,Non,Non,
34,2708,"Valiña, A","27057120800",A Valiña,Non,Non,Non,Non,
35,27159,Airexe,"27057120100",Airexe,Non,Non,Non,Non,
36,963,"Candedo, O",2705730-99,O Candedo,Non,Non,Non,Non,
37,10396,Teibalte,"27057361000",Teibalte,Non,Non,Non,Non,
38,17890,"Tumbiadoiro, O","27057450600",O Tumbiadoiro,Non,Non,Non,Non,
39,11127,Vilameá,"27057361100",Vilameá,Non,Non,Non,Non,
40,8955,Outeiro,"27057360600",Outeiro,Non,Non,Non,Non,
41,1545,Tribui,"27057120600",Tribui,Non,Non,Non,Non,
42,22998,"Ermida, A","27057300400",A Ermida,Non,Non,Non,Non,
43,22064,Paderne,"27057450400",Paderne,Non,Non,Non,Non,
44,4459,Casdoniño,"27057360100",Casdoniño,Non,Non,Non,Non,
45,13240,Cedrón,"27057360200",Cedrón,Non,Non,Non,Non,
46,18923,Piñeira,"27057360700",Piñeira,Non,Non,Non,Non,
47,14916,Vilela,"27057361200",Vilela,Non,Non,Non,Non,
48,27854,"Chanca, A","27057120300",A Chanca,Non,Non,Non,Non,
49,29434,Ferradal,"27057360400",Ferradal,Non,Non,Non,Non,
50,30814,Vilagudín,"27057300801",Vilagudín,Non,Non,Non,Non,
51,30897,Lamas,"27057450300",Lamas,Non,Non,Non,Non,
52,31019,Ferradal,2705713-99,Ferradal,Non,Non,Non,Non,
53,32382,Vilar de María,"27057120700",Vilar de María,Non,Non,Non,Non,
54,32685,Lugar de Abaixo,2705712-99,Lugar de Abaixo,Non,Non,Non,Non,
55,32760,Lamas,"27057300500",Lamas,Non,Non,Non,Non,
56,33977,"Valiña, A","27057180600",A Valiña,Non,Non,Non,Non,
57,34471,"Oural, O","27057130301",O Oural,Non,Non,Non,Non,
58,35194,Airexe,"27057130100",Airexe,Non,Non,Non,Non,
59,37369,Vilar de Lamas,"27057300900",Vilar de Lamas,Non,Non,Non,Non,
60,37804,Lugar de Arriba,2705712-99,Lugar de Arriba,Non,Non,Non,Non,
61,38089,Quintela,"27057120400",Quintela,Non,Non,Non,Non,
62,223,Airexe,"27057040200",Airexe,Non,Non,Non,Non,
63,456,Novelle,2705704-99,Novelle,Non,Non,Non,Non,
64,21207,Casanova,"27057040100",Casanova,Non,Non,Non,Non,
